Nation,s0,f0,s1,f1,s2,f2,s4,f4,s5,f5,s6,f6,s7,f7,s8,f8,s9,f9,s10,f10,s11,f11,s12,f12,s13,f13,s14,f14,s15,f15,s16,f16,s17,f17,s18,f18,s19,f19,s20,f20,s21,f21,s22,f22,s23,f23,s24,f24,s25,f25,s26,f26,s27,f27,s28,f28,s29,f29,s30,f30,s31,f31,s32,f32,s33,f33,s34,f34,s35,f35,s36,f36,s37,f37,s38,f38,s39,f39,s40,f40,s41,f41,s42,f42,s43,f43,s44,f44,s45,f45,s46,f46,s47,f47,s48,f48,s49,f49,s50,f50,s51,f51,s52,f52,s53,f53,s54,f54,s55,f55,s56,f56,s57,f57,s58,f58,s59,f59,s60,f60,s61,f61,s62,f62,s63,f63,s64,f64,s67,f67,s68,f68,s69,f69,s70,f70,s71,f71,s72,f72,s73,f73,s74,f74,s75,f75,s77,f77,s78,f78,s79,f79,s85,f85,s87,f87,s88,f88
Ursalian Sea Force,67.87,67.87,3,3,50.67,50.67,1.06,1.06,33.41,33.26,46.76,46.76,559.69,628.45,39.2,39.2,137.25,137.25,-12,-13.19,887.71,881.76,-7.35,-9.17,-8.12,-8.12,759.23,812.15,-5.06,-5.06,-2.28,-6.65,-8.4,-8.4,-10.82,-10.82,-12.41,-12.41,545.09,541.43,1197.25,1189.22,-7.35,-7.35,-12.41,-12.41,-1.67,-1.67,26.16,25.99,0,0,15.36,15.46,730.03,725.14,730.03,725.14,608.36,604.28,292.01,290.05,8.58,8.58,94.4,94.4,16.66,16.66,16.7,16.7,28.17,28.17,10.49,10.49,51,51,2.52,2.52,50.5,50.5,147,157,69.72,69.72,103.38,103.38,68.82,68.96,21.53,21.53,559.69,555.94,74.76,75.83,-97,-97,66.75,66.84,13.6,12.72,4.04,4.04,93.08,93.08,991.68,991.68,-8,-8,64,64,75.02,74.92,340.68,338.4,1056.47,1067.6,0.31,0.3,212.54,213.07,9.61,9.62,28.73,28.73,911.85,979.36,1.35,1.31,33.47,33.47,43.8,43.85,-31.62,-50,-41.23,-41.23,109.08,109.08,9703.42,9768.91,9413.77,9477.3,9972,10039,681.36,676.79,2.32,2.32,243.34,241.71,52100000000,52600000000,3221.54,3243.28,13.83,13.83,8.59,9.06
Piano Mania,78.33,78.33,26.67,26.67,74,74,1.43,1.43,30.43,30.31,40.78,40.78,2187.02,2505.53,23.5,23.5,173.25,173.25,-13.64,-14.7,-6.07,-6.07,-8.12,-9.8,204.12,207.87,3557.55,3622.81,-6.51,-6.51,1749.61,668.14,-11.81,-11.81,72.9,74.24,-7.48,-7.48,-13.64,-13.64,1494.46,1521.88,3426.33,3489.19,-16,-16,2770.22,2821.04,-9.37,-9.37,1749.61,668.14,11,11.14,364.5,371.19,1549.14,1577.56,637.88,649.58,911.26,927.97,8.49,8.49,69.89,69.89,11.33,11.33,41.85,41.85,36.07,36.07,2.16,2.16,52.64,52.64,2.52,2.52,50.5,50.5,165,175,60.29,60.29,86.52,86.52,72.3,72.46,24.47,24.47,1002.38,1020.77,49.84,50.49,24.67,24.67,44.4,46.71,55.68,54.08,0.76,0.76,93.94,93.94,450.25,450.25,0,0,64,64,52.77,52.46,820.13,835.18,984.32,1020.61,0.42,0.41,262.94,263.53,9.97,9.97,29.26,29.26,1037.42,1102.06,1.56,1.49,30.53,30.53,49.89,49.94,-69.5,-79.56,39.12,39.12,100.2,100.2,24811.71,24431.72,20532.41,20217.96,29379,28929,1549.14,1577.56,3.8,3.8,0,0,2284900000000,2357400000000,13795.31,13022.11,2.04,2.04,10.01,10.72
Charcoal Feathers,15,15,10.75,10.75,53.33,53.33,1.24,1.24,32.07,31.94,42,42,795.66,940.38,85,85,33.75,33.75,-13.93,-14.97,-8.67,-8.67,299.54,-3.74,486.76,489,-8.6,-8.25,9465.56,9509.15,-9.7,-11.14,-10.02,-10.02,-9.49,-9.49,-10.2,-10.2,-9.7,-9.7,486.76,489,486.76,489,-6.63,-6.63,-9.7,-9.7,-8.39,-8.39,299.54,0,12.12,12.25,561.64,564.23,842.47,846.34,889.27,893.36,280.82,282.11,135.9,135.9,80.48,80.48,12,12,26.09,26.09,13.32,13.32,28.94,28.94,50,50,2.52,2.52,50,50,138,148,63.78,63.78,97.23,97.23,70.22,70.37,26.32,26.32,702.05,705.29,111.38,111.46,10.75,10.75,40.5,41.63,50.34,49.02,4.04,4.04,93.08,93.08,2749.26,2749.26,0,0,64,64,50.27,50.05,514.84,517.21,851.09,936.7,0.2,0.2,28.06,28.25,9.07,9.07,17.09,17.09,840.95,910.53,1.68,1.6,28.68,28.68,44.59,44.64,-32.4,-50.5,43.01,43.01,101.45,101.45,19153.91,19082.25,17081.29,17017.38,21224,21145,514.84,517.21,2.79,2.79,187.21,188.08,946700000000,968800000000,11396.58,11144.03,8.84,8.84,12.15,12.99
Star Destroyer Adarga,2.33,2.33,51,51,2,2,3.1,3.1,31.08,30.97,38.75,38.75,1357.23,1687.15,97.67,97.67,6.75,6.75,-8.94,-10.49,3006.79,3036.87,-8.94,-10.49,3340.87,3374.3,1002.26,1181.01,4009.05,4049.16,3340.87,2108.94,-12.25,-12.25,-10.95,-10.95,0,0,-3.16,-3.16,-7.07,-7.07,-10.95,-10.95,-4.47,-4.47,-7.07,-7.07,-4,-4,3340.87,2108.94,12.21,12.33,313.21,316.34,1357.23,1370.81,3027.67,3057.96,730.82,738.13,141.46,141.46,32.26,32.26,8.23,8.23,18.43,18.43,0.98,0.98,38.58,38.58,46.97,46.97,1,1,50,50,120,130,61.94,61.94,79.31,79.31,71.42,71.56,34.06,34.06,2818.86,2847.07,74.37,75.17,45.25,45.25,40.75,42.33,57.13,55.61,29.5,29.5,91.14,91.14,4922.34,4922.34,-8,-8,64,64,65.49,65.06,1252.83,1265.36,664.2,740.49,0.22,0.22,10.24,10.36,9.77,9.77,17.06,17.06,710.15,785.07,1.93,1.81,20.94,20.94,52.86,52.9,-92.74,-100.5,67.82,67.82,105.84,105.84,39192.63,38804.46,21399.96,21188.01,66337,65680,1252.83,1265.36,3.12,3.12,0,0,49800000000,50000000000,23202.04,22390.17,17.3,17.3,15.67,16.77
Emuli Legion 15,75.6,75.6,54.67,54.67,20,20,3.36,3.36,33.81,33.65,37.37,37.37,811.81,1128.95,27.6,27.6,164.25,164.25,-11.83,-13.04,-7.48,-7.48,4059.05,2873.69,-4.69,-4.69,568.27,574.74,3247.24,3284.22,-4.58,-6.78,0,0,2435.43,2463.17,-6.32,-6.32,-4.47,-4.47,-7.07,-7.07,1217.72,1231.58,4464.96,4515.8,3490.79,3530.54,4757.21,4811.38,4059.05,2873.69,8.37,8.54,-4.47,-4.47,811.81,821.06,1217.72,1231.58,507.38,513.16,7.94,7.94,29.75,29.75,6.84,6.84,34.67,34.67,23.53,23.53,19.3,19.3,50,50,1,1,50,50,126,136,53.3,53.3,32.07,32.07,68.45,68.59,18.68,18.68,913.29,923.69,49.2,49.06,48,48,14.2,15.46,90.46,88.86,16.94,16.94,91.93,91.93,690.98,690.98,0,0,64,64,68.33,68.05,710.33,718.42,602.27,674.98,0.79,0.78,106.71,107.09,9.91,9.91,32.57,32.57,751.8,824.73,2.06,1.91,36.32,36.32,52.22,52.27,74.5,63.64,-23.45,-23.45,97.28,97.28,42952.91,42518.34,22438.09,22211.07,75421,74658,710.33,718.42,14.28,14.28,-7.07,-7.07,414100000000,456600000000,36853.6,35928,5.45,5.45,14.79,15.91
Momia Berg Dorpistan,62.93,62.93,27.17,27.17,62.67,62.67,1.58,1.58,29.94,29.84,42,42,1781.59,2039.58,45.8,45.8,123.75,123.75,-11.31,-12.57,3792.46,3840.68,-2.83,-6.16,2478.73,2510.25,-2.19,-2.19,-7.95,-7.95,3160.39,2259.23,-6.6,-6.6,-10.49,-10.49,-8.83,-8.83,-2.83,-2.83,1952,1976.82,1921.02,1945.44,681.65,690.32,-2.37,-2.37,-11.04,-11.04,3160.39,2259.23,13.53,13.64,1549.21,1568.91,1316.83,1333.57,1239.37,1255.13,697.14,706.01,644.28,644.28,63.32,63.32,14.16,14.16,40.05,40.05,27.17,27.17,13.37,13.37,51,51,1,1,51.48,51.48,165,175,63.83,63.83,97.45,97.45,73.01,73.17,10.91,10.91,1394.29,1412.02,57.43,58.13,27.17,27.17,52.63,54.48,38.33,36.73,2.55,2.55,93.31,93.31,735.25,735.25,-4,-4,64,64,51.24,50.98,852.07,862.9,1049.52,1061.21,0.36,0.35,191.73,192.23,9.88,9.88,15.15,15.15,1013.25,1078.38,1.38,1.33,44.09,44.09,50.02,50.07,-73.48,-83.07,70.71,70.71,104.81,104.81,29462.86,29131.46,23135.43,22875.2,36535,36124,1239.37,1255.13,2.79,2.79,542.22,549.12,608400000000,628400000000,13965.4,13254.81,13.54,13.54,14.55,15.65
Maggots 1 Maggie 0,65.83,65.83,0.5,0.5,65.33,65.33,1.01,1.01,38.97,37.94,45.83,45.83,265.37,305.34,42.25,42.25,130.5,130.5,-7.21,-9.06,-5.06,-5.06,293.18,142.49,465.04,468.19,333.61,366.41,-6.69,-6.69,-1.61,-6.45,240.1,241.73,-14,-14,-8.49,-8.49,-9.06,-9.06,-6.4,-6.4,-6.48,-6.48,-7.48,-7.48,-7,-7,119.29,120.1,293.18,142.49,18.33,18.41,593.93,597.96,417.02,419.84,353.83,356.23,240.1,241.73,9.5,9.5,98.59,98.59,16.66,16.66,17.88,17.88,31.09,31.09,3.23,3.23,52.16,52.16,1,1,51.48,51.48,108,118,71.72,71.72,105.7,105.7,65.33,65.53,22.05,22.05,417.02,419.84,89.98,91.14,-99.5,-99.5,72.37,72.88,-18.69,-20.17,1.97,1.97,93.42,93.42,925.91,925.91,-8,-8,64,64,74.65,74.55,303.28,305.34,1038.05,1050.89,0.28,0.28,252.08,252.66,9.51,9.51,24.32,24.32,652.26,730.69,1.42,1.37,32.95,32.95,42.41,42.47,-59.16,-70.71,80,80,112.37,112.37,6214.81,6172.98,6168.43,6126.91,6257,6215,429.65,432.57,2.23,2.23,265.37,267.17,5600000000,5700000000,1715.29,1672.88,14.05,14.05,7.25,7.32
Perilous Winds,57.33,57.33,36.33,36.33,50.67,50.67,2.21,2.21,31.88,31.76,42,42,857.49,1102.15,50,50,112.5,112.5,-10.2,-11.58,-4.38,-4.38,-4.9,-7.35,810.72,818.74,-7.07,-6.63,-5.06,-5.06,4240.69,3337.93,-10.02,-10.02,1122.54,1133.64,1746.17,1763.44,-5.83,-5.83,3305.25,3337.93,3928.88,3967.73,1434.35,1448.54,810.72,818.74,4610.36,4655.95,4240.69,3337.93,10.39,10.54,701.59,708.52,857.49,865.97,1247.26,1259.6,233.86,236.17,119.98,119.98,45.19,45.19,12,12,39.45,39.45,21.77,21.77,21.46,21.46,46.97,46.97,1,1,50,50,126,136,58.9,58.9,74.2,74.2,70.44,70.58,7.46,7.46,1403.17,1417.05,56.36,57.06,34.25,34.25,22.86,24.08,75.59,73.99,4.64,4.64,93.01,93.01,790.9,790.9,0,0,64,64,62.14,59.93,623.63,629.8,866.86,953.06,0.31,0.31,126.33,126.74,9.82,9.82,17.16,17.16,740.61,814.03,1.66,1.58,47.54,47.54,49.69,49.73,-53.85,-66.33,41.23,41.23,100.2,100.2,38124.31,37792.82,24989.44,24772.16,55296,54815,623.63,629.8,6.86,6.86,77.95,78.72,273900000000,290900000000,29393.84,28684.75,9.89,9.89,10.45,11.14
Divarial,62.93,62.93,18.75,18.75,70,70,1.48,1.48,31.36,31.23,43.68,43.68,1097.03,1321.47,45.8,45.8,123.75,123.75,-11.14,-12.41,2501.24,2537.22,-7.35,-9.17,2029.51,2058.71,1755.25,1791.64,-3.69,-3.69,1151.89,333.85,-4.24,-4.24,356.54,361.67,-9.7,-9.7,-2,-2,1179.31,1196.28,164.56,166.92,-8.6,-8.6,-6.16,-6.16,-10.4,-10.4,1151.89,333.85,12.21,12.33,1302.73,1321.47,1097.03,1112.82,1028.47,1043.27,548.52,556.41,32.69,32.69,67.47,67.47,14.16,14.16,37.1,37.1,28.72,28.72,8.32,8.32,51,51,1,1,50.5,50.5,135,145,63.85,63.85,100.72,100.72,71.06,71.23,17.05,17.05,1234.16,1251.92,59.15,59.86,18.75,18.75,47.37,49.34,47.81,46.22,1.06,1.06,93.67,93.67,721.17,721.17,-4,-4,64,64,50.82,50.58,685.65,695.51,1006.9,1026.68,0.34,0.34,190.21,190.71,9.86,9.86,17.79,17.79,829.53,899.48,1.53,1.47,37.95,37.95,47.29,47.35,-85.73,-94.07,68.19,68.19,104.46,104.46,22722.31,22434.4,18454.81,18220.97,27353,27006,1028.47,1043.27,2.78,2.78,274.26,278.2,296100000000,307900000000,11951.93,11374.24,13.54,13.54,9.96,10.66
Alumin 2,10.5,10.5,66.83,66.83,4,4,4.85,4.85,29.93,29.85,44.28,44.28,879.75,1132.52,89.5,89.5,24.75,24.75,-11.75,-12.96,-6.81,-6.81,422.28,-4.24,4011.64,3972.52,-4.9,-4.24,17421.45,19625.64,6897.21,5784.54,-6.6,-6.6,1442.78,1428.71,4293.16,4251.29,1126.08,1115.09,-8.25,-8.25,-7.62,-7.62,-6.93,-6.93,-5.83,-5.83,3014.45,2985.05,7319.49,5784.54,12.61,12.73,1583.54,1568.1,1055.7,1045.4,2111.39,2090.8,879.75,871.17,7.97,7.97,20.61,20.61,14.16,14.16,22.3,22.3,1.21,1.21,36.41,36.41,50,50,1,1,50,50,122,132,61.99,61.99,75.23,75.23,73.03,73.16,31.54,31.54,2639.24,2613.5,59.72,60.44,57.25,57.25,25.03,25.18,71.7,71.22,27.84,27.84,91.24,91.24,2822.65,2822.65,-8,-8,64,64,68.11,67.89,791.77,784.05,575.64,646.73,0.24,0.24,17.81,17.96,9.73,9.67,32.37,32.37,689.09,765.17,2.12,1.97,23.46,23.46,56.76,56.8,-76.49,-85.73,80.31,80.31,107.82,107.82,59781.68,60370.52,25503.88,25755.08,123725,124943,1671.52,1655.22,3.11,3.11,-10,-10,19200000000,19900000000,44836.26,45157.15,16.02,16.02,27.85,31.13
