Nation,s0,f0,s1,f1,s2,f2,s4,f4,s5,f5,s6,f6,s7,f7,s8,f8,s9,f9,s10,f10,s11,f11,s12,f12,s13,f13,s14,f14,s15,f15,s16,f16,s17,f17,s18,f18,s19,f19,s20,f20,s21,f21,s22,f22,s23,f23,s24,f24,s25,f25,s26,f26,s27,f27,s28,f28,s29,f29,s30,f30,s31,f31,s32,f32,s33,f33,s34,f34,s35,f35,s36,f36,s37,f37,s38,f38,s39,f39,s40,f40,s41,f41,s42,f42,s43,f43,s44,f44,s45,f45,s46,f46,s47,f47,s48,f48,s49,f49,s50,f50,s51,f51,s52,f52,s53,f53,s54,f54,s55,f55,s56,f56,s57,f57,s58,f58,s59,f59,s60,f60,s61,f61,s62,f62,s63,f63,s64,f64,s67,f67,s68,f68,s69,f69,s70,f70,s71,f71,s72,f72,s73,f73,s74,f74,s75,f75,s77,f77,s78,f78,s79,f79,s85,f85,s87,f87,s88,f88
Yor 25,57.33,57.33,57.33,64,57.33,57.33,3.61,4.36,32.52,32.44,42,42,307.39,325.65,50,50,112.5,112.5,-6.32,-6.32,2438.65,2583.48,3278.85,3473.58,4098.57,4341.97,-6.63,-6.63,4856.8,5145.24,2459.14,2605.18,3647.72,3864.36,1229.57,1302.59,4098.57,4341.97,2869,3039.38,2459.14,2605.18,-6.32,-6.32,0,0,-7.07,-7.07,-4,-4,5737.99,6078.76,9.64,9.64,922.18,976.94,922.18,976.94,1536.96,1628.24,307.39,325.65,119.98,119.98,27.72,22.94,12,12,49.93,52.47,22.82,22.82,20.2,20.2,50,50,1,1,50,50,100,100,57.96,57.37,66.63,62.76,69.72,69.81,0.56,2.22,1536.96,1628.24,71.25,69.7,50,55,20.36,19.91,82.41,83.74,3.24,3.24,93.2,93.2,610.35,570.34,0,0,64,64,68.09,69.04,819.71,868.39,538.26,508.76,0.31,0.32,125.26,125.26,10.28,10.73,17.16,17.16,495.87,495.87,2.23,2.33,54.44,52.78,52.78,53.92,-37.42,-37.42,73.48,73.48,100.2,100.2,43834.17,46437.42,22026.13,21023.91,79472,91642,819.71,868.39,8.66,9.6,102.46,108.55,529500000000,512300000000,34892,37196.37,7.51,7.51,16.49,18.08
Blitz the O is silent 10,57.33,57.33,57.33,64,57.33,57.33,3.61,4.36,32.9,32.81,42,42,104.79,111,50,50,112.5,112.5,838.31,888.02,670.65,710.42,4610.72,4884.11,2934.09,3108.07,4443.05,4706.5,167.66,177.6,-5.48,-5.48,5147.24,5452.44,-3.16,-3.16,5029.87,5328.12,-5.48,-5.48,-4.47,-4.47,1257.47,1332.03,-6.32,-6.32,419.16,444.01,4694.55,4972.91,5449.03,5772.13,9.22,9.22,943.1,999.02,943.1,999.02,1257.47,1332.03,314.37,333.01,119.98,119.98,27.72,22.94,12,12,49.93,52.47,22.89,22.89,20.12,20.12,50,50,1,1,50,50,94,94,56.72,56.09,57.19,53.59,69.32,69.42,0.56,2.22,1257.47,1332.03,81.96,80.29,50,55,18.99,18.55,84.55,85.88,3.24,3.24,93.2,93.2,610.35,570.34,0,0,64,64,68.22,69.16,838.31,888.02,474.02,446.4,0.32,0.33,125.79,125.79,11.98,12.42,17.16,17.16,376.8,376.8,2.47,2.61,54.44,52.78,52.65,53.79,40,40,62.45,62.45,100.2,100.2,42892.23,45435.51,21552.81,20570.31,77764,89665,838.31,888.02,10.54,11.36,104.79,111,95500000000,91500000000,34742.71,37029.94,7.09,7.09,12.26,13.45
The Needle Lies,57.33,57.33,57.33,64,57.33,57.33,3.61,4.36,32.64,32.6,42,42,247.92,262.37,50,50,112.5,112.5,-7.07,-7.07,2621.39,2774.14,3966.79,4197.95,4297.36,4547.78,4297.36,4547.78,0,0,2975.09,3148.46,4251.08,4498.8,1652.83,1749.14,3966.79,4197.95,1983.4,2098.97,3305.66,3498.29,1983.4,2098.97,1652.83,1749.14,-8.37,-8.37,4111.47,4477.81,6941.88,7346.41,9.33,9.33,743.77,787.11,743.77,787.11,991.7,1049.49,247.92,262.37,119.98,119.98,27.72,22.94,12,12,49.93,52.47,23.08,23.08,19.87,19.87,50,50,1,1,50,50,100,100,56.72,56.09,57.19,53.59,69.6,69.64,0.56,2.22,991.7,1049.49,70.36,68.81,50,55,10.09,9.87,96.2,97.61,3.24,3.24,93.2,93.2,610.35,570.34,0,0,64,64,68.79,69.68,661.13,699.66,576.99,546.36,0.34,0.35,126.07,126.07,11.92,12.36,17.16,17.16,494.03,494.03,2.12,2.21,54.44,52.78,52.74,53.87,-30,-30,83.07,83.07,100.2,100.2,54350.86,57644.8,27310.63,26097.9,98539,113759,661.13,699.66,10.54,11.36,82.64,87.46,60500000000,61100000000,48861.43,51937.97,7.09,7.09,13.26,14.56
Joy to the World 74,97,97,66.67,66,97,97,102.81,109.86,102.19,103.86,42,42,-4.47,-4.47,3,3,218.25,218.25,-5.48,-5.48,1232.08,1222.7,3643.86,3616.11,2732.9,2712.08,-4.47,-4.47,963.35,956.01,5010.31,4972.16,683.22,678.02,1821.93,1808.06,-5.48,-5.48,4554.83,4520.14,-4.47,-4.47,0,0,4554.83,4520.14,5921.28,5876.18,8745.27,8678.67,8654.18,8588.27,5.29,5.29,455.48,452.01,455.48,452.01,113.87,113,-4.47,-4.47,95.92,95.92,0.97,0.91,12,12,107.14,107.84,40.84,40.84,1.76,1.76,50,50,1,1,50,50,100,100,38.58,38.48,16.97,16.82,60.58,60.4,47.51,47.84,797.1,791.02,21.86,21.81,97,98,6.11,6.08,118.77,119.04,1.06,1.06,93.67,93.67,2.2,1.74,0,0,64,64,75.68,75.78,341.61,339.01,75.66,74.52,4.28,4.29,371.37,371.37,15.94,16.02,17.29,17.29,472.83,472.83,124.89,125.44,7.49,7.16,51.05,50.77,29.15,29.15,56.12,56.12,97.83,97.83,46240.63,45888.48,2898.67,2739.61,298025,300974,341.61,339.01,20.69,20.72,-6.32,-6.32,2900000000,2900000000,43419.95,43089.28,3.19,3.19,30.29,30.77
Hymnal Organ,97,97,66.67,66,97,97,102.81,109.86,102.37,104.02,42,42,-4.47,-4.47,3,3,218.25,218.25,1276.12,1266.4,1446.27,1435.26,1701.5,1688.54,-3.16,-3.16,3828.37,3799.21,3913.44,3883.64,5529.87,5487.75,2467.17,2448.38,5104.49,5065.62,4253.74,4221.35,2552.25,2532.81,3828.37,3799.21,850.75,844.27,4679.12,4643.48,-4.47,-4.47,2041.8,2026.25,8507.49,8442.7,5.29,5.29,425.37,422.13,425.37,422.13,106.34,105.53,-4.47,-4.47,95.92,95.92,0.97,0.91,12,12,107.14,107.84,37.9,37.9,1.97,1.97,50,50,1,1,50,50,100,100,38.58,38.48,16.97,16.82,60.56,60.38,47.51,47.84,744.41,738.74,19.42,19.38,97,98,5.59,5.56,121.75,122.01,1.06,1.06,93.67,93.67,2.2,1.74,0,0,64,64,75.77,75.87,319.03,316.6,88.68,87.4,4.33,4.34,371.37,371.37,16.39,16.47,17.29,17.29,444.35,444.35,118.91,119.47,7.49,7.16,51.05,50.76,48.48,48.48,-18.71,-18.71,97.83,97.83,49513.59,49136.51,3103.84,2933.52,319119,322278,319.03,316.6,20.69,20.72,-6.32,-6.32,2700000000,2800000000,46740.83,46384.87,3.19,3.19,30.31,30.79
HMS Patna,54.67,54.67,21,26,72,72,1.56,1.76,30.52,30.03,44.83,44.83,508.93,566.26,52,52,108,108,1591.56,1770.86,2973.45,3308.42,1887.67,2100.32,-6.78,-6.78,2998.06,3335.8,1954.29,2174.45,1998.71,2223.87,138.8,154.44,1073.38,1194.3,1591.56,1770.86,-5.83,-5.83,-7.56,-7.56,2516.89,2800.43,1221.43,1359.03,-2.62,-2.62,207.27,230.62,5477.94,6095.05,16.43,16.43,1804.39,2007.66,1064.13,1184,971.59,1081.05,694,772.18,1229.34,1229.34,64.21,56.84,17.36,17.36,38.08,41.59,29.49,29.49,5.81,5.81,51.62,51.62,1,1,53.38,53.38,110,110,69.63,69.24,104.5,104.29,72.17,72.88,16.63,14.97,1064.13,1184,84.84,83.99,-79,-74,48.74,48.3,23.92,25.26,0.82,0.82,93.8,93.8,729.6,685.79,-8,-8,67,67,77,77.44,740.26,823.66,1037.11,1036.53,0.28,0.28,217.29,217.29,9.94,9.99,12.47,12.47,607.98,607.98,1.43,1.43,38.37,40.03,48.81,50.15,76.81,76.81,-28.28,-28.28,110,110,35616.39,39628.74,28174.16,29376.53,43881,51680,1202.93,1338.44,2.32,2.34,601.46,669.22,200000000,200000000,18271.21,20488.06,13.8,13.8,12.17,13.36
RAF Bristol,72.33,72.33,22,27,74,74,1.59,1.8,30.86,30.41,44.83,44.83,335.36,371.49,32.5,32.5,153,153,100.61,111.45,321.94,356.63,1374.97,1523.1,1073.15,1188.76,1207.29,1337.36,2797.06,3098.4,1475.58,1634.55,3060.15,3389.83,1710.33,1894.59,771.33,854.42,2112.76,2340.38,1928.31,2136.06,2951.16,3269.1,603.65,668.68,2531.96,2804.74,-5.6,-5.6,2951.16,3269.1,15.07,15.07,1509.11,1671.7,838.4,928.72,586.88,650.1,503.04,557.23,1216.54,1216.54,62.7,55.42,17.36,17.36,39.68,43.24,36.51,36.51,2.11,2.11,51.62,51.62,1,1,53.38,53.38,110,110,67.74,67.33,101.97,101.65,71.7,72.33,22.45,20.79,838.4,928.72,65.91,65.16,-78,-73,31.63,31.18,51.32,52.65,0.77,0.77,93.9,93.9,535.49,498.05,-8,-8,67,67,77.26,77.7,544.96,603.67,1053.51,1053.01,0.38,0.38,287.35,287.35,9.56,9.6,12.53,12.53,591.37,591.37,1.36,1.37,32.55,34.21,48.7,50.02,-21.21,-21.21,67.45,67.45,109.08,109.08,41195.64,45633.82,32177.69,33373.99,51322,60215,964.16,1068.03,2.43,2.46,419.2,464.36,300000000,300000000,28177.82,31396.07,13,13,14.54,15.96
El Tejon,79.33,79.33,33.78,36,66.22,66.22,1.43,1.45,25.89,25.84,42,42,1111.95,1127.54,22,22,175.5,175.5,-1.41,-1.41,4023.54,4079.95,-6.78,-6.78,862.19,874.27,622.69,631.42,2627.62,2664.46,-1.41,-1.41,-4.9,-4.9,1300.12,1318.35,-5.66,-5.66,2326.54,2359.15,-7.87,-7.87,-8.49,-8.49,1642.26,1665.29,3763.52,3816.28,275.9,282.5,0,0,13.45,13.45,1197.48,1214.27,4447.79,4510.15,1368.55,1387.74,342.14,346.93,119.98,119.98,70.15,68.84,12,12,41.05,42,36.25,36.25,2.14,2.14,50,50,4.98,4.98,50,50,136,136,62.3,62.22,98.1,97.86,81.2,81.34,18.46,17.9,1368.55,1387.74,60.22,60.1,32.33,34,51.75,51.66,38.79,39.07,1.34,1.34,93.57,93.57,467.89,456.09,0,0,62,62,55.73,56.14,684.28,693.87,740.2,741.82,0.38,0.38,252.97,252.97,9.58,9.6,17.16,17.16,769.83,769.83,1.81,1.81,36.54,37.1,54.42,54.69,-70.78,-70.78,52.06,52.06,102.24,102.24,32926.13,33390.45,27301.93,27410.07,38918,39819,1454.09,1474.47,3.04,3.06,513.21,520.4,11044400000000,11098200000000,15870.39,16127.59,6.42,6.42,13.74,14
Phai von Friedburg,80.33,80.33,70.78,71.89,69.33,69.33,3.04,3.13,31.04,31.03,40.78,40.78,-6.32,-6.32,20.5,20.5,180,180,6006.28,6046.44,1724.88,1736.41,6622.31,6666.59,1694.08,1705.41,2079.1,2093,1623.24,1634.09,2695.13,2713.15,3212.59,3234.07,-5.48,-5.48,616.03,620.15,2541.12,2558.11,2964.64,2984.46,6391.3,6434.03,-2,-2,2541.12,2558.11,7113.79,7200.11,15323.72,15426.18,7.28,7.28,192.51,193.8,1251.31,1259.68,1058.8,1065.88,0,0,114.92,114.92,32.85,31.95,13,13,63.92,64.83,31.79,31.79,2.97,2.97,51.62,51.62,2.52,2.52,51.48,51.48,103,103,56.26,56.16,58.69,58.21,71.47,71.49,19.77,20.33,1155.05,1162.78,50.28,50.07,65.17,66.83,7.91,7.87,106.47,106.77,0.98,0.98,93.7,93.7,231.27,222.99,0,0,62,62,72.39,72.52,288.76,290.69,361.24,355.7,0.9,0.93,280.02,280.02,11.78,11.93,17.19,17.19,396.85,396.85,3.3,3.38,35.23,34.67,56.55,56.78,78.42,78.42,49.5,49.5,99.3,99.3,57926.17,58352.23,31941.05,31692.13,97246,99206,96.25,96.9,11.14,11.28,-4.47,-4.47,108800000000,110600000000,53350,53742.41,3.54,3.54,16.33,16.64
Pasilianis,54.33,54.33,36.22,38.44,72,72,1.66,1.69,31.19,31.03,40.78,40.78,607.38,623.57,52.25,52.25,108,108,-6.78,-6.78,670.9,688.78,1082.88,1111.74,-8.6,-8.6,902.4,926.45,1387.96,1424.95,-2.05,-2.05,2938.34,3016.66,3609.59,3705.79,3956.67,4062.12,2221.29,2280.49,-6,-6,1180.06,1211.51,2221.29,2280.49,-5.48,-5.48,-5.37,-5.37,1082.88,1111.74,12.25,12.25,867.69,890.82,1301.53,1336.22,1648.61,1692.55,780.92,801.73,13.48,13.48,60.35,59.13,10.55,10.55,48.8,49.93,24.74,24.74,17.62,17.62,51.62,51.62,1,1,50,50,94,94,62.1,62.02,99.57,99.34,71.28,71.48,12.27,11.71,1388.3,1425.3,88.69,88.55,34.17,35.83,41.69,41.6,52.23,52.51,0.82,0.82,93.8,93.8,619.2,605.61,0,0,68,68,56.29,56.76,1214.77,1247.14,636.28,637.76,0.26,0.26,82.42,82.42,10.83,10.98,18.5,18.5,456.69,456.69,1.99,1.98,42.73,43.29,50.18,50.47,68.99,68.99,-56.57,-56.57,94.38,94.38,33672.61,34570.05,25771,26171.19,42705,44263,1214.77,1247.14,3.08,3.1,520.61,534.49,27200000000,29000000000,19631.13,20188.91,6.51,6.51,11.5,11.71
