Nation,s0,f0,s1,f1,s2,f2,s4,f4,s5,f5,s6,f6,s7,f7,s8,f8,s9,f9,s10,f10,s11,f11,s12,f12,s13,f13,s14,f14,s15,f15,s16,f16,s17,f17,s18,f18,s19,f19,s20,f20,s21,f21,s22,f22,s23,f23,s24,f24,s25,f25,s26,f26,s27,f27,s28,f28,s29,f29,s30,f30,s31,f31,s32,f32,s33,f33,s34,f34,s35,f35,s36,f36,s37,f37,s38,f38,s39,f39,s40,f40,s41,f41,s42,f42,s43,f43,s44,f44,s45,f45,s46,f46,s47,f47,s48,f48,s49,f49,s50,f50,s51,f51,s52,f52,s53,f53,s54,f54,s55,f55,s56,f56,s57,f57,s58,f58,s59,f59,s60,f60,s61,f61,s62,f62,s63,f63,s64,f64,s67,f67,s68,f68,s69,f69,s70,f70,s71,f71,s72,f72,s73,f73,s74,f74,s75,f75,s77,f77,s78,f78,s79,f79,s85,f85,s87,f87,s88,f88
Teremara Executive,63.33,63.33,36,36,70,70,2.17,2.17,31.21,31.1,43.68,43.68,733.93,970.49,45.5,45.5,123.75,123.75,-8,-8,3381.96,3440.03,763.29,776.39,2172.44,2209.74,3405.44,3643.08,-4.2,-4.2,123.3,125.42,1688.04,-6.36,3699.01,3762.53,1937.58,1970.85,763.29,776.39,1086.22,1104.87,2524.72,2568.08,1056.86,1075.01,1820.15,1851.4,1664.29,1692.87,886.59,901.81,12.21,12.33,1394.47,1418.41,1027.5,1045.15,1027.5,1045.15,220.18,223.96,639.39,639.39,45.99,45.99,15.09,15.09,46.38,46.38,30.91,30.91,3.31,3.31,52.64,52.64,1,1,51.48,51.48,117,127,61.75,61.75,92.83,92.83,71.25,71.4,12.07,12.07,954.11,970.49,86.94,86.94,34,34,31.65,33.37,61.63,59.6,0.98,0.98,93.7,93.7,590.18,590.18,0,0,64,64,55.49,54.96,733.93,746.53,728.24,806.95,0.28,0.28,192.91,193.42,12.29,12.35,15.18,15.18,664.46,741.09,1.83,1.73,42.93,42.93,50.96,51.01,-59.58,-59.58,69.64,69.64,101.45,101.45,38666.18,38016.2,25585.08,25155,55629,54694,1394.47,1418.41,3.17,3.17,440.36,447.92,4900000000,5500000000,26447.67,25318.79,3.56,3.56,10.81,10.55
Arikea,68.53,68.53,47.33,47.33,27.33,27.33,1.41,1.41,25.77,25.75,43.68,43.68,2302.07,2553.73,38.2,38.2,139.5,139.5,1062.49,1056.71,2549.98,2536.11,566.66,563.58,2479.15,2465.67,3541.64,3733.72,-10.39,-10.39,4108.31,4085.96,-9.49,-12.85,2620.82,2606.56,1062.49,1056.71,-10,-10,-5.1,-5.1,-6.32,-6.32,-9.7,-9.7,4674.97,4649.54,1147.49,1141.25,5737.46,5706.25,14.18,14.28,1682.28,1673.13,3541.64,3522.38,1416.66,1408.95,1062.49,1056.71,468.75,468.75,70.81,70.81,14.64,14.64,26.78,26.78,28.8,28.8,8.04,8.04,51,51,4.48,4.48,50.99,50.99,180,190,65.56,65.56,89.98,89.98,81.52,81.59,17.78,17.78,2036.45,2025.37,52.54,52.54,32.5,32.5,48.21,48.61,38.1,37.22,10.54,10.54,92.42,92.42,863.03,863.03,-4,-4,62,62,53.84,53.54,619.79,616.42,1070.33,1080.43,0.38,0.38,166.9,167.37,9.9,9.9,15.95,15.95,1070.79,1133.98,1.3,1.26,37.22,37.22,56.69,56.72,-64.03,-64.03,70,70,104.46,104.46,43027.44,43268.91,35856.2,36057.42,50634,50918,1416.66,1408.95,2.6,2.6,531.25,528.36,2865600000000,2918300000000,22288.22,22240.22,13.8,13.8,13.78,13.73
TugboatDan,78.5,78.5,53.67,53.67,72.67,72.67,3.32,3.32,32.05,31.92,43.68,43.68,318.16,557.05,23.25,23.25,173.25,173.25,2290.76,2291.88,3130.71,3132.23,3881.57,3883.46,5726.9,5729.69,5217.85,5411.37,4683.33,4685.61,2163.5,2164.55,477.24,-8.12,699.95,700.3,-5.29,-5.29,2927.08,2928.51,267.26,267.39,3245.25,3246.82,2927.08,2928.51,5345.11,5347.71,2239.86,2240.95,8335.83,8339.88,8.43,8.6,1034.02,1034.53,795.4,795.79,477.24,477.47,79.54,79.58,119.98,119.98,30.14,30.14,15.09,15.09,56.4,56.4,36.69,36.69,2.09,2.09,48.6,48.6,1,1,51.48,51.48,117,127,55.45,55.45,53.5,53.5,70.24,70.39,16.38,16.38,1113.56,1114.11,48.69,48.69,47.25,47.25,8.62,8.85,103.1,101.92,0.79,0.79,93.84,93.84,316.41,316.41,0,0,64,64,68.25,67.99,318.16,318.32,465.47,528.55,0.87,0.87,304.63,305.26,11.4,11.45,17.16,17.16,642.32,720.5,2.51,2.26,38.62,38.62,53,53.04,-59.58,-59.58,98.23,98.23,98.83,98.83,54571.66,54550.48,28711.21,28700.06,95260,95223,715.86,716.21,12.14,12.14,-4.47,-4.47,18100000000,20600000000,49878.5,49695.49,7.41,7.41,14.49,14.35
SucWAti,78.57,78.57,78.44,78.44,69,69,1.37,1.37,20.58,20.58,42,42,10915.1,11210.28,23.14,23.14,173.25,173.25,-17.94,-17.94,-12.39,-12.39,-14.14,-14.14,-7.82,-7.82,-12.7,-12.39,-12.52,-12.52,-15.23,-15.23,-21.42,-23.11,-16.88,-16.88,-17.09,-17.09,-18.49,-18.49,-13.86,-13.86,-13.11,-13.11,-22.54,-22.54,1328.15,1324.34,-19.04,-19.04,0,0,22.54,22.61,3056.23,3047.45,15171.99,15128.43,4147.74,4135.83,2837.93,2829.78,147.13,147.13,73.09,73.09,12,12,31.22,31.22,61.49,61.49,1.14,1.14,52.16,52.16,8.85,8.85,50,50,387,397,74.01,74.01,112.53,112.53,91.31,91.31,20.27,20.27,4693.49,4680.02,73.98,73.98,30.67,30.67,85.96,86.07,-82.28,-83.28,0.74,0.74,94.02,94.02,458.27,458.27,0,0,80,80,47.18,47.03,327.45,326.51,1301.31,1306.87,0.26,0.26,259.17,259.76,8.58,8.58,17.03,17.03,2474.48,2525.6,0.74,0.74,34.73,34.73,72.42,72.42,-124.86,-124.86,74.77,74.77,104.1,104.1,56776.88,56940.38,48114.4,48252.95,65830,66019,8841.23,8815.85,2.14,2.14,1200.66,1197.21,783100000000,785900000000,7948.76,7914.71,8.45,8.45,106.07,105.97
Morombe,70.44,70.44,97.47,97.47,58.48,58.48,1.3,1.3,20.93,20.92,42,42,5304.08,5516.31,35.33,35.33,72.25,72.25,2266.95,2264.59,2720.34,2717.51,680.08,679.38,14566.59,14551.46,-6.33,-6.24,-10.43,-10.43,12439.15,12426.22,-19.97,-21.77,3661.99,3658.19,-7.87,-7.87,1104.41,1103.26,3324.86,3321.4,-9.06,-9.06,-17.26,-17.26,14252.71,14237.9,-12.7,-12.7,15386.18,15370.19,26.15,26.21,72.66,72.58,11552.71,11540.71,10099.54,10089.05,4359.51,4354.98,9.32,9.32,76.91,76.91,0.89,0.89,26.37,26.37,65.36,65.36,1.08,1.08,57.27,57.27,9,9,33.52,33.52,258,268,82.21,82.21,128.85,128.85,91.1,91.11,13.8,13.8,11988.67,11976.21,10.41,10.41,26,26,76.15,76.29,-94.47,-95.47,0.74,0.74,94.02,94.02,681.28,681.28,27,27,94,94,48.23,48.06,944.56,943.58,1299.31,1304.88,0.2,0.2,121.3,121.71,8.89,8.89,25.11,25.11,2008.84,2062.4,0.75,0.74,41.2,41.2,87.93,87.93,-212.1,-212.1,216.03,216.03,71.93,71.93,104715.54,104824.48,91170.25,91265.1,118536,118659,4577.49,4572.73,1.92,1.92,363.29,362.92,2265600000000,2269000000000,24922.3,24843.4,19.61,19.61,112.24,112.24
Comnemnus,52.61,52.61,80.76,80.76,38.22,38.22,1.64,1.64,23.15,23.12,24.2,24.2,2295.11,2581.13,53.55,53.55,141.75,141.75,-15.03,-15.03,-9.63,-9.63,-7.29,-7.29,4883.99,4993.32,-6.65,-6.03,-11.24,-11.24,15055.92,15392.94,5125.75,1329.67,-6,-6,-13.64,-13.64,3182.55,3253.79,-8.2,-8.2,-4,-4,-17.97,-17.97,-13.12,-13.12,-9.95,-9.95,15055.92,15392.94,26.76,26.81,765.04,782.16,3748.68,3832.59,15453.74,15799.66,3136.65,3206.86,1242.13,1242.13,61.1,61.1,0.69,0.69,36.79,36.79,51.82,51.82,1.34,1.34,46.15,46.15,8.85,8.85,37.41,37.41,120,130,96.51,96.51,137.3,137.3,90.02,90.03,13.25,13.25,15377.24,15721.45,4.68,4.68,28.14,28.14,85.26,86.38,-139.38,-142.88,3.5,3.5,93.16,93.16,976.55,976.55,-34,-34,78,78,45.88,45.65,2524.62,2581.13,1256.99,1262.94,10.36,10.36,66.62,66.92,8.83,8.83,12.41,12.41,1136.37,1198.42,0.81,0.8,41.75,41.75,72.41,72.42,-135.43,-135.43,125.22,125.22,104.1,104.1,83024.84,81207.13,63965.12,62564.7,104686,102394,4131.2,4223.67,1.7,1.7,1071.05,1095.03,444100000000,436100000000,12204.65,11044.17,31.75,31.75,54.03,52.15
Yiddish Black Hand,30,30,24.67,24.67,5,5,1.71,1.71,33.62,33.51,38.75,38.75,849.61,1122.38,70.5,70.5,67.5,67.5,-11.92,-11.92,-1.26,-1.26,-3.46,-3.46,-6.48,-6.48,-5.29,-4.69,-4.98,-4.98,1925.77,2035.24,3115.22,-3,-10.68,-10.68,2775.38,2933.15,4191.39,4429.65,-5.92,-5.92,1076.17,1137.34,792.96,838.04,226.56,239.44,-4.38,-4.38,1925.77,2035.24,12.73,12.85,-5.48,-5.48,778.8,823.08,1911.61,2020.28,778.8,823.08,42.28,42.28,58.52,58.52,8.98,8.98,16.08,16.08,4.28,4.28,32.74,32.74,51,51,1,1,50.5,50.5,111,121,62.23,62.23,82.59,82.59,68.62,68.73,30.89,30.89,2407.21,2544.05,46.48,46.48,24.67,24.67,44.35,49.05,47.86,44.66,27.02,27.02,91.28,91.28,3894.86,3894.86,-4,-4,64,64,53.99,53.49,991.21,1047.55,512.12,578.3,0.27,0.27,127.15,127.56,9.79,9.79,17.69,17.69,620.29,700.22,2.32,2.12,24.11,24.11,47.74,47.78,24.49,24.49,-34.64,-34.64,103.74,103.74,28348.5,26892.15,21343.64,20247.16,36471,34598,1274.41,1346.85,3.05,3.05,-11.83,-11.83,3954100000000,4164100000000,15761.76,13688.11,15.54,15.54,10.17,9.76
Raxulan Bell,18,18,17,17,5,5,1.18,1.18,28.55,28.49,39.43,39.43,1785.83,1951.39,82,82,40.5,40.5,-9.59,-9.59,1327.27,1322.35,691.29,688.72,-10.39,-10.39,-11.45,-11.18,-3.58,-3.58,-2.9,-2.9,-11.36,-14.28,-5.2,-5.2,-1.41,-1.41,-1.41,-1.41,-9.7,-9.7,-9.59,-9.59,-6.48,-6.48,-11.22,-11.22,-12.63,-12.63,691.29,688.72,19.16,19.24,1267.36,1262.66,2131.47,2123.57,2361.9,2353.14,1094.54,1090.48,1008.25,1008.25,84.56,84.56,12,12,13.47,13.47,2.29,2.29,33.51,33.51,46.97,46.97,2.93,2.93,51.96,51.96,139,149,70.97,70.97,102.06,102.06,75.32,75.42,37.29,37.29,2246.69,2238.35,102.44,102.44,-83,-83,79.22,79.35,-34.41,-35.41,24.66,24.66,91.43,91.43,6166.41,6166.41,-8,-8,65,65,76.66,76.57,1440.19,1434.84,1037.68,1050.41,0.21,0.21,20.29,20.45,9.58,9.59,13.46,13.46,854.84,923.11,1.43,1.38,17.71,17.71,48.79,48.83,74.5,74.5,-63.64,-63.64,110,110,23160.49,23246.74,21201.64,21280.6,25072,25165,1440.19,1434.84,2.26,2.26,979.33,975.69,93700000000,94200000000,4817.38,4812.08,17.87,17.87,12.47,12.42
Andech,65.67,65.67,37.56,37.56,70.89,70.89,1.64,1.64,29.08,29.01,45.83,45.83,1284.17,1553.55,42.5,42.5,130.5,130.5,-11.58,-11.58,4226.77,4211.05,4476.26,4459.62,308.2,307.06,2142.74,2134.77,-9.47,-9.47,-4.27,-4.27,-5.74,-10.39,440.29,438.65,-6.63,-6.63,-3.74,-3.74,924.61,921.17,-7.35,-7.35,-8,-8,1981.3,1973.93,1520.33,1514.67,4476.26,4459.62,8.89,9.06,1284.17,1279.4,1284.17,1279.4,-3.16,-3.16,91.73,91.39,896.67,896.67,61.08,61.08,17.01,17.01,43.72,43.72,30.24,30.24,4.05,4.05,50,50,2.52,2.52,51.96,51.96,162,172,63.27,63.27,88.57,88.57,74.39,74.5,13.66,13.66,458.63,456.93,80.52,80.52,33.17,33.17,21.44,22.2,78.38,77.38,0.85,0.85,93.78,93.78,562.5,562.5,-8,-8,67,67,56.9,56.31,0,0,1080.75,1090.32,0.36,0.36,96.73,97.09,9.83,9.83,13.97,13.97,974.35,1039.49,1.26,1.22,41.34,41.34,52.11,52.15,69.14,69.14,36.33,36.33,103.74,103.74,33936.55,34084.5,26141.84,26255.8,42797,42983,1100.72,1096.63,2.87,2.87,-7.75,-7.75,3716300000000,3867500000000,26674.13,26517.74,12.67,12.67,19.51,19.54
Zions Thris 17,77.17,77.17,64,64,25,25,4.36,4.36,34.97,34.75,37.37,37.37,516.94,822.46,25.25,25.25,168.75,168.75,-6.32,-6.32,1488.78,1480.44,0,0,2067.76,2056.16,5624.29,5839.49,5955.13,5921.74,4714.48,4688.04,-6.12,-10.61,827.1,822.46,-8.37,-8.37,-7.75,-7.75,-8.37,-8.37,1654.2,1644.93,4549.06,4523.55,1654.2,1644.93,1985.04,1973.91,4714.48,4688.04,8.37,8.54,-4.47,-4.47,827.1,822.46,1240.65,1233.7,206.78,205.62,7.94,7.94,22.94,22.94,6.84,6.84,39.45,39.45,23.17,23.17,19.77,19.77,46.97,46.97,1,1,50,50,110,120,50.02,50.02,25.05,25.05,67.47,67.65,18.8,18.8,1550.82,1542.12,26.79,26.79,55,55,11.62,12.22,94.79,93.91,13.35,13.35,92.19,92.19,572.31,572.31,0,0,64,64,69.94,69.74,723.71,719.66,413.58,473.01,1.41,1.41,115.61,116,10.13,10.18,32.57,32.57,621.53,701.35,2.81,2.48,36.2,36.2,53.03,53.09,-53.39,-53.39,53.39,53.39,97.28,97.28,48840.38,49121.66,22111.81,22239.16,96384,96939,723.71,719.66,16.18,16.18,-7.07,-7.07,135400000000,140900000000,43174.89,43128.81,8.69,8.69,14.91,14.85
