Nation,s0,f0,s1,f1,s2,f2,s4,f4,s5,f5,s6,f6,s7,f7,s8,f8,s9,f9,s10,f10,s11,f11,s12,f12,s13,f13,s14,f14,s15,f15,s16,f16,s17,f17,s18,f18,s19,f19,s20,f20,s21,f21,s22,f22,s23,f23,s24,f24,s25,f25,s26,f26,s27,f27,s28,f28,s29,f29,s30,f30,s31,f31,s32,f32,s33,f33,s34,f34,s35,f35,s36,f36,s37,f37,s38,f38,s39,f39,s40,f40,s41,f41,s42,f42,s43,f43,s44,f44,s45,f45,s46,f46,s47,f47,s48,f48,s49,f49,s50,f50,s51,f51,s52,f52,s53,f53,s54,f54,s55,f55,s56,f56,s57,f57,s58,f58,s59,f59,s60,f60,s61,f61,s62,f62,s63,f63,s64,f64,s67,f67,s68,f68,s69,f69,s70,f70,s71,f71,s72,f72,s73,f73,s74,f74,s75,f75,s77,f77,s78,f78,s79,f79,s85,f85,s87,f87,s88,f88
Roulette 17,57.33,61.33,57.33,48.44,57.33,57.33,3.61,2.91,32.8,32.63,42,42,315.23,292.83,50,47,112.5,119.25,2942.17,2733.11,-6.92,-6.92,3782.79,3513.99,-3.16,-3.16,-3.16,-3.16,2780.35,2582.79,1681.24,1561.78,5216.05,4845.41,2521.86,2342.66,2101.55,1952.22,-7.07,-7.07,-7.75,-7.75,2101.55,1952.22,1260.93,1171.33,2942.17,2733.11,3362.48,3123.55,8406.2,7808.88,9.33,9.33,945.7,878.5,945.7,878.5,1260.93,1171.33,315.23,292.83,119.98,119.98,27.72,34.4,12,12,49.93,46.46,23.64,24.25,19.16,18.33,50,50,1,1,50,50,100,100,56.72,57.4,57.19,62.55,69.42,69.6,0.56,3.78,1260.93,1171.33,73.25,72.64,50,43.33,19.69,20.26,83.67,81.96,3.24,3.24,93.2,93.2,610.35,640.56,0,0,64,64,68.04,66.71,840.62,780.89,466.69,465.11,0.33,0.33,126.07,137.81,11.67,11.08,17.16,17.16,513.03,513.03,2.5,2.51,54.44,51.22,52.68,51.41,67.82,67.82,-10,-10,100.2,100.2,42777.06,39737.42,21494.94,22471.74,77555,65318,840.62,780.89,10.54,9.56,105.08,97.61,1200000000,2300000000,34349.98,31670.72,7.09,6.95,14.34,12.81
Flaming Crown of Mercury,76.83,77.83,40.22,40,54.22,54.22,1.81,1.8,31.25,31.32,42,42,330.08,326.08,25.75,24.25,168.75,171,-3.46,-3.46,-1.26,-1.26,3564.85,3521.64,-5.66,-5.66,1188.28,1173.88,4341.53,4288.9,-1.41,-1.41,-9.64,-9.64,-1.41,-1.41,594.14,586.94,-6.48,-6.48,-7.87,-7.87,924.22,913.02,3234.77,3195.56,4885.17,4825.95,3788.28,3748.88,3564.85,3521.64,9.9,9.9,577.64,570.64,1072.76,1059.75,1320.32,1304.31,577.64,570.64,119.98,119.98,55.31,55.42,12,12,39.58,39.5,29.43,29.7,6,5.25,50,50,1,1,50,50,100,100,59.89,59.87,83.25,83.24,71.21,71.11,13.71,14.27,1320.32,1304.31,64.26,63.1,37.17,37,21.07,21.07,77.65,77.62,3.33,3.33,93.18,93.18,538.67,528.52,0,0,64,64,65.26,64.96,660.16,652.16,673.17,668.18,0.4,0.41,226.86,231.29,9.75,9.75,17.16,17.16,525.47,525.47,1.92,1.93,41.29,40.73,50.5,50.24,81.55,81.55,-35.36,-35.36,99.3,99.3,39588.96,39115.62,28920.3,28606.95,52290,51614,577.64,570.64,4.28,4.31,-3.16,-3.16,2032400000000,2070700000000,31235.69,30862.23,6.56,6.51,10.09,9.92
DysonsphereConstructors,72.89,74.22,35.73,30.67,57.33,57.33,1.45,1.39,32.52,32.53,42,42,775.39,723.8,31.67,29.67,155.25,159.75,-10.2,-10.2,-8.2,-8.2,2946.48,2750.45,1163.09,1085.7,-8.25,-8.25,16822.49,15703.24,-8,-8,-10.02,-10.02,-8,-8,-10.68,-10.68,-10.2,-10.2,-10.68,-10.68,-8,-8,-8.83,-8.83,-3.32,-3.32,-1.5,-1.5,2946.48,2750.45,9.49,9.49,872.31,814.28,872.31,814.28,775.39,723.8,387.7,361.9,119.98,119.98,68.99,72.01,12,12,40.05,37.97,26.5,26.88,14.73,13.98,51,51,1,1,50,50,115,115,59.33,59.48,70.86,73.17,69.72,69.71,11.97,13.9,1260.01,1176.18,73.88,72.73,33.8,30,28.96,29.17,71.96,71.33,3.24,3.24,93.2,93.2,593.11,607.64,0,0,64,64,58.26,56.04,775.39,723.8,621.28,613,0.37,0.38,204.12,212.56,9.46,9.42,17.16,17.16,683.28,683.28,2.02,2.04,43.03,41.1,49.44,48.54,42.43,42.43,44.72,44.72,100.2,100.2,29655.2,27682.15,24373.33,23275.04,35326,32320,775.39,723.8,5.77,5.24,96.92,90.48,933500000000,1451800000000,21055.19,19598.96,5.64,5.53,14.45,13.4
Dolgavakia,53.09,53.82,66.75,66,67.89,67.89,1.35,1.33,20.7,20.71,50,50,10141.97,10066.03,53.18,52.64,29.75,30,-19.9,-19.9,-11.87,-11.87,-15.87,-15.87,-12.15,-12.15,-15.72,-15.72,-9.51,-9.51,-18.11,-18.11,-23.17,-23.17,-17.41,-17.41,-16.91,-16.91,-17.78,-17.78,-15.81,-15.81,-14.35,-14.35,-19.13,-19.13,-9.02,-9.02,-23.21,-23.21,0,0,28.48,28.48,5634.43,5592.24,11671.31,11583.93,5473.44,5432.46,3219.67,3195.57,355.06,355.06,74.34,75.26,21.25,21.25,28.23,27.77,61.3,61.37,1.14,1.14,53.51,53.51,9.87,9.87,53.84,53.84,387,387,82.18,82.2,117.5,117.69,91.24,91.23,12.3,12.5,6439.34,6391.13,112.87,112.89,29.12,28,78.99,79.01,-128.67,-128.85,0.78,0.78,93.85,93.85,722.71,727.85,3,3,81,81,44.55,44.35,2173.28,2157.01,1342.69,1342.7,0.18,0.18,49.61,50.29,8.19,8.18,16.33,16.33,2479.09,2479.09,0.69,0.69,42.7,42.5,69.36,68.92,-130.81,-130.81,59.04,59.04,110,110,65278.85,64790.1,55819.91,55764.61,75085,74093,8854.1,8787.81,1.92,1.92,2414.75,2396.67,482100000000,490300000000,13708.56,13605.92,17.13,17.1,110.13,109.61
Brunswick and Nassau,60.8,61.33,72.86,72,63.43,63.43,1.53,1.5,20.55,20.56,42,42,7714.38,7661.55,47.4,47,87.25,87.25,-10.1,-10.1,-11.03,-11.03,-11.58,-11.58,-9.86,-9.86,-12.49,-12.49,-6.69,-6.69,-10.58,-10.58,-18.61,-18.61,-16.61,-16.61,-11.92,-11.92,-12.33,-12.33,-12.73,-12.73,-11.92,-11.92,-16.94,-16.94,-0.99,-0.99,-12.53,-12.53,0,0,21.1,21.1,1361.36,1352.04,15769.09,15661.11,4197.53,4168.78,1588.25,1577.38,82.96,82.96,65.51,66.5,12,12,36.3,35.77,60.02,60.07,1.17,1.16,54.29,54.29,10.42,10.42,50,50,282,282,70.85,70.9,110.42,110.66,91.33,91.33,6.34,6.9,4764.76,4732.13,99.62,99.71,40.29,39,67.16,67.19,-23.29,-23.51,2.57,2.57,93.3,93.3,631.22,638.57,-4,-4,83,83,54.32,53.79,113.45,112.67,1224.97,1224.82,0.2,0.2,70.86,70.86,8.2,8.19,17.37,17.37,1873.65,1873.65,0.86,0.87,48.66,48.1,70.9,70.46,-120.83,-120.83,80.88,80.88,106.51,106.51,50483.79,50138.08,40365.5,40409.8,61615,60765,9756.42,9689.61,2.26,2.26,1021.02,1014.03,1270200000000,1352300000000,16558.68,16445.29,6.4,6.4,106.21,105.56
Deleted One More Time,65.33,65.56,74.29,73.43,63.24,63.24,1.57,1.54,20.18,20.19,30.24,30.24,11559.64,11482.34,43,42.67,140.25,140.5,-22.54,-22.54,-13.8,-13.8,-15.38,-15.38,-12.2,-12.2,-17.81,-17.81,-10.55,-10.55,-11.92,-11.92,-20.09,-20.09,-19.42,-19.42,-19.18,-19.18,-20.69,-20.69,-16.64,-16.64,-16.67,-16.67,-21.26,-21.26,-6.93,-6.93,-20.36,-20.36,0,0,30,30,8730.36,8671.97,13257.21,13168.55,11074.62,11000.56,1940.08,1927.11,37.24,37.24,63.88,64.86,1.23,1.23,42.9,42.27,84.19,84.23,0.89,0.89,50,50,9.15,9.15,46.62,46.62,384,384,94.67,94.69,130.03,130.17,91.57,91.57,7.03,7.57,10508.77,10438.49,54.12,54.18,42.43,41.14,83.86,83.89,-170.57,-170.78,0.65,0.65,94.41,94.41,579.37,586.94,-5,-5,119,119,43.4,43.3,970.04,963.55,1487.45,1487.3,0.17,0.17,101.57,102.06,8.38,8.37,17.74,17.74,3007.27,3007.27,0.56,0.56,47.97,47.43,74.28,74.06,-173.23,-173.23,114.92,114.92,101.85,101.85,72753,72266.44,57395.76,57474.17,89848,88616,9942.91,9876.41,1.73,1.73,1535.9,1525.62,555300000000,559300000000,11713.23,11634.9,22.31,22.29,142.98,142.84
Mon Droit,56.89,59.56,50,43.33,57.33,57.33,2.53,2.35,32.1,32.1,42,42,778.35,724.79,50.33,48.33,112.5,117,-4.69,-4.69,840.62,782.77,-8.49,-8.49,3813.91,3551.45,-3.63,-3.63,-4.1,-4.1,1089.69,1014.7,-9.95,-9.95,1868.04,1739.49,3813.91,3551.45,3035.56,2826.66,4203.09,3913.84,3424.74,3189.06,-7.87,-7.87,3035.56,2826.66,420.31,391.38,1089.69,1014.7,9.75,9.75,875.64,815.38,875.64,815.38,1264.82,1177.78,389.17,362.39,119.98,119.98,39.49,42.53,12,12,45.63,43.06,24.76,25.16,17.58,16.99,50,50,1,1,50,50,116,116,58.49,58.71,69.8,72.68,70.18,70.18,2.47,4.58,1264.82,1177.78,66.08,65.18,44.5,39.5,21.91,22.19,78.98,78.15,3,3,93.23,93.23,658.75,684.35,0,0,64,64,66.4,65.01,778.35,724.79,770.27,762.2,0.3,0.31,128.18,134.88,10.06,9.96,17.16,17.16,649.63,649.63,1.77,1.78,52.53,50.42,51.82,50.71,-94.34,-94.34,72.8,72.8,100.2,100.2,41342.04,38496.98,25196.02,24419.73,63801,57424,778.35,724.79,7.71,7.27,97.29,90.6,75700000000,132900000000,32288.13,29950.65,7.23,7.14,11.68,10.67
Bocchi182,57.33,61.33,57.33,48.44,57.33,57.33,3.61,2.91,32.78,32.59,42,42,282.63,262.86,50,47,112.5,119.25,3014.76,2803.84,4565.47,4246.07,-3.16,-3.16,1130.53,1051.44,-4.47,-4.47,1260.54,1172.36,4898.98,4556.24,1970.9,1833.01,2261.07,2102.88,3391.6,3154.32,-7.75,-7.75,3014.76,2803.84,-6.32,-6.32,4145.29,3855.28,-5.48,-5.48,4220.66,3773.85,7913.73,7360.08,9.33,9.33,847.9,788.58,847.9,788.58,1130.53,1051.44,282.63,262.86,119.98,119.98,27.72,34.4,12,12,49.93,46.46,22.14,22.77,21.03,20.27,50,50,1,1,50,50,100,100,56.72,57.4,57.19,62.55,69.45,69.65,0.56,3.78,1130.53,1051.44,56.84,56.31,50,43.33,15.25,15.89,88.63,86.83,3.24,3.24,93.2,93.2,610.35,640.56,0,0,64,64,68.34,67.06,753.69,700.96,556.58,554.84,0.34,0.35,126.07,137.81,10.69,10.1,17.16,17.16,507.97,507.97,2.18,2.18,54.44,51.22,52.69,51.43,-48.99,-48.99,43.59,43.59,100.2,100.2,47693.43,44205.24,23965.35,24998.32,86469,72662,753.69,700.96,10.54,9.56,94.21,87.62,114000000000,161800000000,40444.03,37176.61,7.09,6.95,15.33,13.7
Citt Che Wal,54.67,56.67,30.67,23.33,65.33,65.33,1.95,1.66,30.96,31.3,46.76,46.76,197.76,174.18,52,50.5,108,112.5,2373.07,2090.15,1266.96,1115.91,3427.77,3019.11,-4.69,-4.69,2531.28,2229.5,-6.77,-6.77,2478.54,2183.05,3324.94,2928.54,1318.37,1161.2,2373.07,2090.15,2373.07,2090.15,3717.81,3274.57,-8.37,-8.37,-7.07,-7.07,-8,-8,442.97,390.16,8279.38,7292.31,11.53,11.53,1647.97,1451.5,1120.62,987.02,856.94,754.78,197.76,174.18,9.1,9.1,51.28,60.22,17.36,17.36,39.75,35.75,26.02,26.31,15.59,15.07,51.62,51.62,1,1,51.48,51.48,101,101,64.3,64.81,94.68,96.55,71.58,71.14,10.22,11.95,1120.62,987.02,79.69,79.41,30,23.33,26.32,26.89,68.42,66.71,1.81,1.81,93.45,93.45,738.53,785.5,-8,-8,64,64,55.04,53.35,527.35,464.48,739.21,746.19,0.32,0.32,218.1,220.99,11.01,10.41,26.11,26.11,482.28,482.28,1.81,1.8,44.78,43.05,50.12,48.64,80.62,80.62,0,0,107.5,107.5,37012.8,32600.11,25964.21,24923.14,50637,41384,1186.54,1045.08,2.73,2.67,329.59,290.3,150400000000,203500000000,27278.44,23830.68,13.27,13.21,10.18,9.21
Suzuran-,97,98,66.67,70,97,97,102.81,76.42,104.73,84.88,42,42,-4.47,-4.47,3,2,218.25,220.5,2305.57,2357.5,5125.02,5240.45,-5.29,-5.29,2305.57,2357.5,744.88,761.65,-7.57,-7.57,4965.85,5077.69,3954.06,4043.11,4079.09,4170.96,3635.71,3717.6,4079.09,4170.96,532.06,544.04,3635.71,3717.6,3192.33,3264.23,4079.09,4170.96,-4.82,-4.82,7271.42,7435.19,5,5,443.38,453.37,443.38,453.37,-3.16,-3.16,-4.47,-4.47,95.92,95.92,0.97,1.31,12,12,107.14,103.62,40.08,40.24,1.81,1.8,50,50,1,1,50,50,100,100,37.23,37.62,14.85,15.86,60.29,61.72,47.48,46.14,554.22,566.71,18.02,17.86,97,92,5.62,5.71,121.07,120.23,1.06,1.06,93.67,93.67,2.2,4.58,0,0,64,64,75.65,75.14,332.53,340.02,80.89,86.28,4.42,4.46,372.61,379.23,16.75,16.33,17.29,17.29,440.57,440.57,122.43,119.98,7.52,8.86,50.95,52.54,-64.42,-64.42,52.44,52.44,97.83,97.83,47551.11,48622.09,2980.82,3773.65,306471,288370,332.53,340.02,21.2,21.05,-6.32,-6.32,73100000000,92100000000,44888.25,45850.63,2.81,2.75,31.16,28.79
